,HSC,MPP,CMP,CLP,GMP,MEP
receiving PARs,0.6835106382978723,0.4627659574468085,0.6781914893617021,0.46808510638297873,0.42021276595744683,0.8351063829787234
sending ACTIVIN,0.7642032593933906,0.5600667722951562,0.37425022634676325,0.4579985287460389,0.4998726799456768,0.3637816885468538
receiving ACTIVIN,0.21518503847894976,0.17844612947034857,0.2492997397012223,0.17844612947034857,0.17844612947034857,0.15482825939339065
sending VCAM,0.12234042553191489,0.1276595744680851,0.13829787234042554,0.2154255319148936,0.13829787234042554,0.22872340425531915
receiving VCAM,0.5531914893617021,0.5611702127659575,0.1196808510638298,0.6303191489361702,0.601063829787234,0.1196808510638298
sending SEMA7,0.5132978723404256,0.29521276595744683,0.24202127659574468,0.3404255319148936,0.19946808510638298,0.23404255319148937
receiving SEMA7,0.1197374377546401,0.12494341330918966,0.12494341330918966,0.09631054775916705,0.13535536441828883,0.13014938886373925
sending BSP,0.7814904934359439,0.7814904934359439,0.7814904934359439,0.7814904934359439,0.7814904934359439,0.7814904934359439
receiving BSP,0.2712765957446808,0.047872340425531915,0.07180851063829788,0.05319148936170213,0.047872340425531915,0.05585106382978723
sending VEGI,0.3756719669533726,0.4039016523313717,0.3713289384336804,0.4060731665912178,0.4039016523313717,0.3713289384336804
receiving VEGI,0.2557435491172476,0.2390646220009054,0.2390646220009054,0.23535819375282932,0.22794533725667723,0.2501839067451335
sending AGT,0.35394975101856047,0.35394975101856047,0.35394975101856047,0.35394975101856047,0.35394975101856047,0.35394975101856047
receiving AGT,0.5331527274784971,0.44827269126301494,0.3846126641014034,0.3846126641014034,0.3846126641014034,0.6604727818017203
sending NPY,0.3407933454051607,0.34337511317338165,0.34853864870982343,0.3407933454051607,0.3407933454051607,0.3407933454051607
receiving NPY,0.3772846876414667,0.3772846876414667,0.3772846876414667,0.3772846876414667,0.3772846876414667,0.3772846876414667
sending OSTN,0.7341840199185152,0.7341840199185152,0.7341840199185152,0.7341840199185152,0.7341840199185152,0.7341840199185152
receiving OSTN,0.41379017655047534,0.41379017655047534,0.41379017655047534,0.41379017655047534,0.41379017655047534,0.41379017655047534
sending CXCL,0.47324864191942057,0.24538818469895884,0.43819318696242643,0.24789214576731552,0.11518220914440924,0.4832644861928475
receiving CXCL,0.5558510638297872,0.6276595744680851,0.526595744680851,0.5797872340425532,0.5664893617021277,0.39893617021276595
sending CX3C,0.2667638071525577,0.1811057039384337,0.17131620642824807,0.17131620642824807,0.1590793345405161,0.17621095518334087
receiving CX3C,0.31745133544590315,0.529863626075147,0.492516410140335,0.5275294250792214,0.541534631054776,0.25909631054775917
sending PTPRM,0.19193498189225894,0.18956541421457673,0.19193498189225894,0.2061523879583522,0.1848262788592123,0.18719584653689453
receiving PTPRM,0.19193498189225894,0.18956541421457673,0.19193498189225894,0.2061523879583522,0.1848262788592123,0.18719584653689453
sending GDF,0.34126018560434584,0.2936424852874604,0.3439056133997284,0.3439056133997284,0.2936424852874604,0.34126018560434584
receiving GDF,0.06631252829334541,0.06631252829334541,0.09814254187415121,0.09549004074241739,0.0636600271616116,0.07427003168854686
sending CD52,0.4933015504753282,0.5167921004979629,0.5115719782707108,0.5402826505205975,0.5115719782707108,0.4254399615210503
receiving CD52,0.7473404255319149,0.800531914893617,0.7287234042553191,0.875,0.800531914893617,0.5531914893617021
sending MHC-II,0.6820959710276143,0.6749660479855139,0.7153689452240832,0.6963558171118153,0.6725894069714803,0.6583295608872792
