Pathway 1,send CCL,send PARs,receive KIT,receive SELL,send CD34,receive IL7,send GALECTIN,receive MIF,receive GALECTIN,send MIF,send TGFb,receive LAMININ,receive SELE,receive GRN,send ANGPTL,send ANNEXIN,receive PECAM1,send PECAM1,receive CD22,send CD45,receive ICAM,receive CLEC,receive SPP1,send LAMININ,receive SEMA3,receive IFN-II,send CLEC,send ICAM,receive BAFF,send BST2,receive ADIPONECTIN,send VISFATIN,receive ncWNT,receive JAM,send OSM,receive SEMA7,receive EPHA,receive HSPG,receive CD39,send THY1,receive VCAM,send CXCL,receive CSF,send SEMA4,receive IGF,send ANGPT,receive PARs,receive CD34,send LIGHT,receive CCL,send APP,send LAIR1,send GRN,send COMPLEMENT,send VISTA,receive CD52,receive COLLAGEN,receive FN1,receive ANGPTL,receive MK,receive PTN,receive TENASCIN,receive THBS,send CD52,send PSAP,receive IL2,send IL16,send LCK,send MHC-I,receive SELPLG,send SELL,receive SEMA4,send SELPLG,receive APP,send MHC-II
send CCL,0.0,0.5127815395486242,0.2378406455299717,0.3530641571260862,0.3849169458921967,-0.3262093916635024,-0.2026362420315912,0.0,0.1615037404336662,0.0,-0.1455893785259281,0.1324784553462935,0.1323883049932449,0.143626118548144,0.1795818602006147,0.0,0.0,0.0,0.1456322372975048,0.1477622009274959,0.0,0.0,0.0,0.0,0.148596612185735,0.0,0.1408302041125771,0.0,0.0,0.0,0.0,0.0,0.1637425267442682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2404231765259656,0.2312768068616293,0.2401452481031794,0.1552839000538103,0.0,0.1482083458891109,0.1559120377649087,0.1970967504811675,0.0,0.0,0.1916611077981635,0.2491149167490898,0.2334152203228532,0.1399658254300128,0.2116303157241336,-0.1509281702008151,-0.1957831771052864,-0.1767305032431393,-0.2611914250443166,-0.2016213434319054,-0.33316665331243,-0.3518515120872521,-0.1923901968802889,0.0,0.1322831504337208,-0.2664900301071402,-0.194543339910816,-0.1393891152614666,0.0,0.0,0.0,0.0,0.0,0.2221227595093556,0.1600970104473685
send PARs,0.5127815395486242,0.0,0.20957129489617,0.3595304542304435,0.4077126832898179,-0.2534707785081351,-0.2308199996218825,0.0,0.0,0.1953450332733031,0.0,0.1368870865182021,0.0,0.2141679988935431,0.1940503830281196,0.2079727468414065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181631230362376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595104921223362,0.1749968438469283,0.2054340862104011,0.0,0.0,0.1342431064731049,0.0,0.265022623208938,0.2786571028017344,0.3126132190457112,0.2776183809310167,0.2481740800304948,0.3034817480960385,-0.1477774104635152,-0.2008819722945524,-0.2178932539790778,-0.3171186690412647,-0.2403331544420124,-0.2551617797257262,-0.3464405651928836,-0.2822342517625075,-0.1936934970968648,-0.1966946013602049,-0.1905409951356881,-0.1675588948551842,-0.1840599848996431,-0.2372930642043657,0.0,-0.1435890789915004,0.0,0.0,-0.1868132438332402,-0.2212719696019771
receive KIT,0.2378406455299717,0.20957129489617,0.0,0.2645193783950544,0.2751541904152927,-0.255070468989967,0.0,0.0,-0.1531427236690841,0.0,0.0,0.0,0.0,0.0,0.1606798925312618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2368550712815231,0.1900596015753145,0.1898005269469537,0.1633937267238412,0.2172561467395084,0.0,0.0,0.0,0.142264219743447,0.0,0.0,-0.1435239992187365,-0.2943398228789202,-0.2067822576829777,-0.2831529530916908,-0.1438379575797521,-0.184780569350993,-0.3009958661797989,-0.1977149051653283,-0.2332207450087632,-0.1985907061858026,-0.1326306287280573,-0.2288915899556738,0.0,0.0,0.0,-0.1318338153212526,0.0,0.0,-0.1500438076945977,0.0
receive SELL,0.3530641571260862,0.3595304542304435,0.2645193783950544,0.0,0.0,-0.2322777693744983,-0.2693412475981905,0.0,0.1740345890547694,0.0,0.0,0.1804894375450527,0.1487441054992399,0.1379434981089203,0.1317978220661136,0.0,0.0,0.0,0.0,0.0,0.1442116805471935,0.0,0.0,-0.1391946755423153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1459867310043384,0.0,0.0,0.0,0.1602686730609195,0.2879963681686276,0.1961567913756789,0.2794994518841416,0.242854097331845,0.1337751858196932,0.0,0.1579304039927714,0.1399279755057581,0.0,0.0,-0.2124284809792888,-0.1561389058819022,-0.1472802302669727,-0.3179087705792692,-0.2235982613957193,-0.2227183836073276,-0.3008650665650938,-0.1809789811494674,-0.1932757393889335,-0.2413777635192325,0.0,-0.1358078304296395,0.0,0.0,0.0,0.0,0.0,0.0,-0.135840763931469,0.0
send CD34,0.3849169458921967,0.4077126832898179,0.2751541904152927,0.0,0.0,-0.2429829932578758,-0.2936500971959061,0.0,0.1904198410307708,0.0,0.0,0.1873203387699442,0.1545943210773607,0.1383100026016263,0.0,0.0,0.0,0.0,0.0,0.0,0.1419198831169072,0.0,0.0,-0.1369584618624384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1722665953806893,0.3036961743609667,0.1977593419981299,0.0,0.2576543232489243,0.1336610420939092,0.0,0.1661055242339689,0.1437129492074784,0.0,0.0,-0.2103253650423306,-0.1580134293594267,-0.1528205768219059,-0.3466903733393188,-0.2363419010325365,-0.2370713777355654,-0.3260427453836674,-0.1918940948458759,-0.200074138600903,-0.2657569780256171,0.0,-0.1365288548634204,0.0,0.0,0.0,0.0,0.0,0.0,-0.1356825443261788,0.0
receive IL7,-0.3262093916635024,-0.2534707785081351,-0.255070468989967,-0.2322777693744983,-0.2429829932578758,0.0,0.2125877295218866,0.0,0.0,0.0,0.158895469604556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1384188372731601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2126366245476997,-0.1453129788718138,-0.1868580762551651,0.0,-0.1805812281878133,0.1904198410307708,-0.2107880510509127,-0.1340003654470479,-0.2069786126288013,-0.1320294157779113,-0.2162257499792202,0.0,0.2396783999696941,0.1795424222979368,0.292700780935486,0.2766098832151005,0.3175876200172376,0.3434240389447174,0.3516382507448891,0.2892291640007137,0.1835849055048442,0.4670180270720164,0.2283066005843173,0.2964718269335697,0.1598225004174435,0.2551714697328848,0.2813045238201884,0.0,0.1616885021273241,0.0,0.0
send GALECTIN,-0.2026362420315912,-0.2308199996218825,0.0,-0.2693412475981905,-0.2936500971959061,0.2125877295218866,0.0,0.0,0.0,0.0,0.3023272938043532,-0.1394567266290662,-0.1570766131947066,-0.1345399871348142,-0.2611914250443166,0.0,0.0,0.0,-0.1330901544151142,-0.1330901544151142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1393917938722109,0.0,0.0,0.0,0.0,0.1421262483194068,0.0,0.0,0.0,0.0,0.0,-0.1556026104222574,0.0,-0.1529064199411133,-0.1392759116749686,0.0,0.0,-0.1385597988306619,-0.1487412917968801,0.0,-0.177584916187104,-0.179373837510148,-0.1556341623000373,-0.2006886142463471,-0.1945308548526222,-0.2299229372203459,0.1898377453670708,0.0,0.0,0.1513442971860492,0.2081443175789444,0.2224849680810688,0.1979255017728731,0.1649227941504908,0.1670786550326376,0.0,0.1700504924561283,0.1509272660316215,0.0,0.0,0.1347827498145052,0.1375542445782637,0.0,0.0,-0.180394876602152,0.0
receive MIF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2131720156491128,0.0,0.0,0.3355199114162492,0.3180170086392209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3153969260470265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1379456474876824,0.0,0.0,0.0,0.0,0.0,0.0,0.14430084955483,0.0,0.0,0.0,0.0,0.0,0.0,0.2359895494982796,0.2288975698422035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4828378134171817,0.1846904264474761
receive GALECTIN,0.1615037404336662,0.0,-0.1531427236690841,0.1740345890547694,0.1904198410307708,0.0,0.0,0.2131720156491128,0.0,-0.1911991609720578,0.0,0.0,0.0,0.0,0.0,-0.1564279361447567,0.1586247029570415,0.1586247029570415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1507084205424601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1403143547138684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156128758288941,0.1910296307304946,0.0,0.0,0.1389152201925148,0.0,0.1506616684439968,0.1552031538263749,0.0,0.1577115655203818,0.1734066424359872,0.1838078909974693
send MIF,0.0,0.1953450332733031,0.0,0.0,0.0,0.0,0.0,0.0,-0.1911991609720578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1374174113715124,-0.1374174113715124,-0.1391590199851118,-0.1391590199851118,0.0,0.0,0.0,0.1344657935058407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1478105960296181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2150341012104525,0.2173054922708084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.162384074195968,0.0,0.0,0.0,-0.1382873800172461,-0.1747378045182154,0.0
