Pathway 1,receive MK,receive PTN,send MIF,receive CD39,receive IFN-II,send VEGF,send VCAM,send ANGPTL,receive JAM,receive PDGF,receive ANGPTL,receive VISFATIN,send VISFATIN,receive COLLAGEN,receive SPP1,send GALECTIN,receive SEMA7,receive LAMININ,receive GRN,receive HSPG,receive ncWNT,receive ITGAL-ITGB2,send ICAM,receive ADIPONECTIN,receive THBS,receive PARs,send FGF,receive ESAM,send ESAM,send CXCL,send TGFb,receive CD34,receive BAFF,send SELPLG,send IL16,receive GALECTIN,receive CD22,send CD45,receive SEMA4,send ANNEXIN,receive PECAM1,send PECAM1,send GRN,send PSAP,receive SELL,send CD34,send ANGPT,send MHC-I,send MHC-II,receive SELPLG,send SELL,send PARs,send CCL,send CD52
send ESAM,0.0,-0.1819457981980371,0.0,0.0,0.0,0.0,0.0,0.0,0.1484292192895926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2255931008740377,0.1790822470294134,0.0,0.0,0.0,0.0,0.1441169717023743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174480176475112,0.1851280352685442,0.0,0.236413918656285,0.1868958726242074,0.1574019733874198,0.0,0.0,0.0,0.0
send CXCL,0.0,-0.1507951198365994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2530866279418186,0.0,0.2255931008740377,0.2255931008740377,0.0,0.2185121219371789,0.1764148937915656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734985932142595,0.1868192067444056,0.0,0.1616228819025476,0.0,0.0,0.0,0.0
send TGFb,-0.1815749896463567,-0.253765340642437,-0.1866194020535925,0.0,-0.1639753082725352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2743062665590209,0.2213114096585961,0.1790822470294134,0.1790822470294134,0.2185121219371789,0.0,0.0,0.0,0.1674426775493967,0.0,0.1606315871987123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2453721457385052,0.2829845770783269,0.1955314970946904,0.0,0.0,0.0,0.0,0.0
receive CD34,0.0,-0.1607313825439803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1597421656637229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148623734105857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1764148937915656,0.0,0.0,0.1548687945811476,0.1502082031153797,0.1899077806703389,0.1484240319921737,0.0,0.0,0.1802079101660235,0.0,0.2080714914774605,0.2080714914774605,0.1476709582403993,0.0,0.2229673820528367,0.0,0.1654444569909957,0.1799651864186672,0.1932944170759878,0.0,0.1726013174518395,0.2649957063016739,0.1754948473585538,0.2162487888469998
receive BAFF,-0.1466358976955503,-0.2302790833611594,0.0,0.1643505715219342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565715549322854,0.1517502533105215,0.0,0.0,0.1668331401598839,0.1468156871760486,0.0,0.0,0.0,0.0,0.1548687945811476,0.0,0.0,0.0,0.1596786640216513,0.0,0.0,0.0,0.0,0.1455313182642432,0.1455313182642432,0.157430190723978,0.1642539638666138,0.2143234738580264,0.2241345811182933,0.1953604839044236,0.1709428074931536,0.1921836343457552,0.1836551828679828,0.1714638499497874,0.1945125974635929,0.1716242491920561,0.1692343860436948
send SELPLG,-0.1848949254144796,-0.1832430441790931,0.0,0.0,-0.1484568401430503,-0.1458256464650669,0.0,-0.1439751858282353,0.0,0.1551766346319063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168404780383465,0.0,0.0,0.0,0.1674426775493967,0.1502082031153797,0.0,0.0,0.1527078166148457,0.171723056487463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1713549578996067,0.2034715940062977,0.2068876357420305,0.1636388040291754,0.1560456403511471,0.1799964564034533,0.0,0.1649292221362733,0.1772445648627066,0.1481324912905727,0.1686818718885054
send IL16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1899077806703389,0.0,0.1527078166148457,0.0,0.0,0.0,0.0,0.2003109000225135,0.2096664019327017,0.1643443247449862,0.1643443247449862,0.0,0.0,0.2946274347953473,0.304577011453391,0.0,0.2310595700927688,0.2028561550803313,0.2228767459572376,0.1812088001595882,0.1623438795976476,0.0,0.0
receive GALECTIN,-0.1773493449270307,-0.1724111640081944,0.0,0.1576589893588134,0.0,0.0,-0.1485011075147347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1483969695681513,0.0,0.0,0.0,0.1441169717023743,0.1441169717023743,0.0,0.1606315871987123,0.1484240319921737,0.1596786640216513,0.171723056487463,0.0,0.0,0.0,0.0,0.0,0.1511560895961558,0.0,0.0,0.0,0.0,0.2223266866963602,0.2263634522453385,0.156390342672627,0.1596710624721376,0.1737765320439884,0.213072443982401,0.223826622748976,0.1795038422494041,0.1906885320103339,0.203536714022122
receive CD22,0.0,0.0,0.0,0.1684656666284416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220380945705279,0.2315511957021644,0.0,0.0,0.0,0.1965864961378796,0.2312039657052607,0.1723571065158158,0.1986674781895591,0.1920801788151681
send CD45,0.0,0.0,0.0,0.1684656666284416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220380945705279,0.2315511957021644,0.0,0.0,0.0,0.1965864961378795,0.2312039657052607,0.1723571065158158,0.1986674781895591,0.1920801788151681
