Pathway 1,send SEMA4,send VISTA,receive IFN-II,send APP,send CD52,send GRN,send IL2,send COMPLEMENT,send PARs,receive VCAM,receive NCAM,send NCAM,receive CEACAM,send ANNEXIN,receive CD52,send LAIR1,receive SELL,send CD34,receive IGF,send SELPLG,receive SELPLG,send SELL,receive CCL,send VISFATIN,send PROS,receive COLLAGEN,receive SEMA7,receive SEMA3,receive CLEC,send SPP1,receive CSF,receive IL6,send PSAP,send MIF,receive CD39,receive NOTCH,send ANGPTL,receive PECAM1,send PECAM1,send CCL,receive LAMININ,receive TENASCIN,send ICAM,send OSM,receive TWEAK,receive EPHB,receive TGFb,send CXCL,send TNF,receive ANGPTL,receive CD200,send PDGF,receive EPHA,receive CD22,send CD45,send TWEAK,send WNT,send NKG2D,receive GALECTIN,send ICOS,receive SELE,send SEMA6,send ITGAL-ITGB2,receive CD86,send CD86,receive PERIOSTIN,receive VTN,receive VWF,send GDF,send IL7,receive ENHO,send AGRN,send APELIN,send EPHB,receive BMP,send IL1,send CSF,receive IL17,send CD39,receive SEMA5,send LAMININ,receive SEMA6,receive VISFATIN,receive NRG,receive BSP,receive DMP1,send CD1D2,send THBS,send CD46,receive SLURP,send NOTCH,receive MAG,send MAG,send CLEC,send MK,receive FGF,receive IL1,receive WNT,send FLT3,receive ITGAL-ITGB2,receive ACTIVIN,send COLLAGEN,send LCK,send LIGHT,receive ncWNT,receive APP,receive MIF,receive SPP1,send FGF,receive ESAM,send ESAM,receive ANGPT,send JAM,receive JAM,receive VEGF,receive ICAM,receive COMPLEMENT,receive CD23,receive THY1,receive BAFF,receive GRN,send BAFF,receive ALCAM,send CD6,receive ADIPONECTIN,send LIFR,send VEGF,receive MK,receive PTN,send ANGPT,receive PARs,send GALECTIN,send MHC-I,receive PDGF,send THY1,receive KIT,receive THBS,receive CXCL,send BST2,send IL16,receive SEMA4,receive FN1,send VCAM,send MHC-II,receive CD34,send TGFb
send SEMA4,0.0,0.4815633174534835,0.3434892596573471,0.396276378000809,0.3299107151869566,0.2879327714854796,-0.2954826011669271,0.5032604988584156,-0.4308699189050344,0.3863895221952763,0.399079869117504,0.406775744120146,0.2966044916242946,0.4261449902159969,0.4192817266045135,0.4609448881185034,-0.5474299838974622,-0.5461053287670009,-0.1721977610976154,-0.1810697305550873,0.2060128871320756,0.1472912979780074,-0.126528205777689,0.1411904179373466,0.1179393759207095,0.0,0.2143578077248894,0.1777391820860064,0.1153963830745741,0.1655605339504028,0.0,0.1331569395315923,0.0,-0.3651162236855955,0.260655051307212,-0.133538294365935,0.1707408600715884,-0.2415052121082203,-0.2415052121082203,-0.194635031454261,-0.2108956535434905,0.1996284712614255,-0.136829608079109,-0.2069049240855058,-0.1987417139873759,-0.230116649793685,-0.2005542315260609,-0.1463095548405478,0.0,0.1258152846484977,-0.1215274720780222,0.0,-0.1328725888776895,-0.1261732775751178,-0.1261732775751179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1183483656355822,0.1490149301645402,0.0,0.0,0.1717501754819874,-0.1307570278300393,-0.1186914107500593,-0.1852256570499917,0.0,-0.1201703935121035,-0.1265278266560101,-0.1759681314690351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1151572574266422,-0.1278488582112582,0.0,0.0,-0.1237705136026987,0.0,0.0,-0.1327660510849462,0.0,0.0,0.0,0.0,0.0,0.1865336096079595,0.0,0.1853552684477282,-0.1806819502580588,-0.1196581671940361,-0.1676022629113061,-0.2041097165847588,-0.1661143668512317,-0.1777396016273871,-0.1848250437672245,-0.1204846046743846,-0.146112125659077,0.2244575030188756,-0.2690452431433769,-0.2180061770481825,-0.2180061770481824,-0.2141573577837025,-0.1671615179864094,0.1886953801131379,0.2124005627474704,0.2809188363787955,0.344923163438076,0.3101669482856777,0.3241268016016455,0.1606870557155981,-0.2118279226163356,0.1930284256974203,0.0,0.0,0.1431637992185928,0.0,0.0,-0.4155228350588711,-0.3513269330441724,-0.4233949965174385,-0.3541302069633111,-0.3972334891294355,-0.3362132982268721,-0.3534472486054523,-0.219787473892958,-0.3161747183713673,-0.2937842912468876,0.2594882311368537,-0.3105764790927537,-0.2532023140025858,0.0,0.2885545033087503,0.3316406252670542,-0.3787165994922112,0.3003878336067166,0.3035134555604357
send VISTA,0.4815633174534835,0.0,0.4899327706075263,0.4579148397505069,0.4903065068963914,0.4937301130682439,-0.1601833269029927,0.5902697586907238,0.3358671142606597,0.3698113630662867,0.3393471036250569,0.3759740397211644,0.3658127884638871,0.4705622165662361,0.4096921953522038,0.3844882346753766,-0.4057527835452238,-0.4036200893833319,-0.2948279792560405,0.0,0.1220713889659057,0.2142428553966971,0.1270107804832435,0.0,0.1536134124544344,0.1222214032663302,0.0,0.2705132607148761,0.2378171657667762,0.3425078062525718,0.175932681760793,0.0,0.2371486041525598,-0.4045050361790943,-0.1277215909619103,0.0,-0.1150761601526733,0.0,0.0,0.0,-0.1394545015751472,-0.1683767983046848,0.0,0.0,-0.2700284279212428,-0.2280836786411093,-0.1908945206332271,-0.1521647062728795,0.0,0.1367737357134532,0.0,-0.1308888884664782,-0.1609508826930901,0.0,0.0,0.0,0.0,0.0,0.0,0.1155508106893468,0.0,0.0,0.1892966598070378,0.2478375173671504,0.0,0.0,-0.1604640593641652,-0.1535506747635603,0.0,-0.1601833269029927,0.0,0.0,-0.1211027729667766,-0.1126429230984236,0.0,0.0,0.0,-0.1348836325559938,0.0,0.0,0.0,0.0,0.0,-0.1248965007080165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1696720369891974,-0.1560891946402806,-0.1458102027330327,-0.1730239768796559,0.0,-0.2015599162217801,-0.129362536473598,-0.1983112086380327,-0.1487977970302848,-0.1169458556908048,0.0,-0.1308633176415655,-0.2308269504921656,-0.2675710187760174,-0.2198995768248383,-0.2198995768248383,-0.2528581057812789,-0.2360882005883185,0.2367118642549399,0.1353661862282488,0.3276386708072841,0.3620314221502211,0.3094779709032992,0.3162645495783256,0.158821140878358,0.1277838949000045,0.1613582425909119,0.0,0.0,0.0,-0.123356036099424,0.0,-0.5558691887544505,-0.4845809464232435,-0.5183115354170724,-0.391123949647735,-0.3858383870127159,-0.3022279502588319,-0.369060599520267,-0.2325376191532452,-0.3519581701291884,-0.2933678219326081,-0.2102449444291824,-0.191806135989653,0.0,-0.2610240099329842,-0.2105959150127427,-0.2573071301971966,-0.2448695816077718,-0.2339872022484484,-0.2219509940293023
receive IFN-II,0.3434892596573471,0.4899327706075263,0.0,0.3881341491464715,0.2795808746469159,0.3162701857967568,0.2013103345652186,0.4574344644883751,0.4235913476460909,0.2170876488819812,0.2555472717358114,0.295816843344031,0.1413738177451595,0.3370102425935214,0.3977394808408928,0.2282820635768343,-0.3084442983697213,-0.3064264586820884,-0.3400498780880115,0.0,0.0,0.1799418860996446,0.263170381577867,0.0,0.1423344746819825,0.1438707417347057,0.0,0.2928247117585276,0.2305874688268979,0.342983857060856,0.2718582460667441,0.1323642865715821,0.245581245776689,-0.1959365003809565,-0.1771436200483596,0.0,0.0,-0.1393742526780708,-0.1393742526780708,-0.1457505809604664,0.0,0.0,0.0,0.0,-0.1531143976334936,-0.2341203773884463,-0.2338745644379267,-0.2313077654613213,0.0,0.0,0.0,-0.1357676994010156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1319675443598974,0.0,0.1585473406190262,0.1766250719914406,0.0,0.0,0.0,0.0,0.0,-0.1328328858052314,0.0,0.0,-0.1301191730204394,0.0,0.0,0.0,0.0,0.0,0.114440177551407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1732688328394691,-0.1520894410434213,-0.180729902217592,-0.2595572383081893,0.0,-0.1801025986717365,-0.1931253249740492,-0.1345615891435454,-0.1630931290613467,-0.1937889755228115,-0.1781074075605802,-0.2209397203538215,-0.2169026208146247,-0.3838051785564082,-0.3101204984844503,-0.3101204984844503,-0.2119155623707995,-0.2100024702242468,-0.1293976521973963,0.144503921003935,0.1965137209506193,0.1900467718736973,0.1532948324497048,0.1610781719393779,0.2482651771523589,0.1367800107937287,0.0,0.0,0.0,-0.1356549263599843,-0.1381492273037078,-0.125015759615616,-0.5000134110439793,-0.4172703031809681,-0.47666142587469,-0.4455805221545311,-0.4262768537388494,-0.324351589588833,-0.3369343092602072,-0.3010524409113708,-0.3137686034577483,-0.3059393357343036,-0.2889188431058878,0.0,0.0,-0.2765373264814427,-0.2436885315627528,-0.3517758391892215,-0.3111113190575447,-0.2771579160541823,-0.2763879021343547
send APP,0.396276378000809,0.4579148397505069,0.3881341491464715,0.0,0.3754072860433553,0.3520967306550615,0.0,0.4904915999254156,0.3866244681088776,0.2667857127107828,0.2780985242063473,0.3123840237470672,0.2401562138959789,0.35869430241575,0.3580555327645334,0.342900344928044,-0.3650405689018076,-0.3641144086824531,-0.3070514992638961,0.0,0.0,0.1321812553883994,0.2272468896825332,0.1215572716291849,0.1910412578437137,0.2042085380585767,0.0,0.1718255862197205,0.2615099356999499,0.31440838176068,0.2852328305097714,0.1425095378806478,0.22274102931543,0.0,-0.1829808942171605,0.0,0.0,-0.1883818036811929,-0.1883818036811929,-0.1348205098728395,0.0,0.0,0.0,0.0,-0.1554895788802349,-0.162083178904749,-0.2379856692909031,0.1461898247565251,0.1271227492750628,0.0,-0.1387913988299253,-0.1282670649147889,-0.1620433901700094,-0.1448478094164853,-0.1448478094164853,0.0,0.0,0.0,0.0,0.1291352134394722,0.215442391795806,0.1226618311511149,0.2064716100036419,0.1692129094571097,0.1673006128539283,0.0,-0.1580361500344406,0.0,0.0,0.0,0.0,0.0,0.0,-0.1494437561303089,0.0,0.0,0.0,0.0,0.1357707335529434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1231883148833377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1765922024407746,-0.1928211128863056,0.0,-0.1592267584395983,0.0,-0.1421781014753122,-0.1804995753430664,-0.1618249120984474,-0.1544959564506044,-0.1349794776168742,0.0,-0.1653846421732539,-0.3136293504472185,-0.3325645392201767,-0.2734349668764672,-0.2734349668764672,-0.2408915410587609,-0.209068141544982,0.1572606338427934,0.1229596753673073,0.2746218816716146,0.2663374829815561,0.2471728453222792,0.2463163379466919,0.0,0.1427741690996842,0.2289633110537157,0.0,0.0,0.0,-0.1665976939901106,0.0,-0.3840691703612742,-0.2160344470770749,-0.4695546259838482,-0.3476921270455279,-0.4983364815809412,-0.3785119316419498,-0.386788696205419,-0.3425298713358893,-0.3945242028199708,-0.3324051975772552,-0.2000275800604047,0.0,-0.1152923040177137,-0.2835292792212158,-0.2397837944750266,-0.3486826842379819,-0.3766029400990061,-0.2390211116835733,-0.2518244576860682
send CD52,0.3299107151869566,0.4903065068963914,0.2795808746469159,0.3754072860433553,0.0,0.4212901346892267,-0.1575690571651511,0.2961820951751734,0.0,0.0,0.0,0.0,0.1377734910139121,0.0,0.0,0.1822345645192414,0.0,0.0,-0.4214429125841793,0.3650409781099149,0.4743020237897732,0.5285476556475978,0.2777818829685369,0.2174639794650223,0.2759038211322377,0.2344098386293678,0.2561787974732589,0.2077287385383691,0.4521351092150092,0.3710372156999836,0.4745704622853298,0.411935372186532,0.5158188608196383,0.0,0.0,0.0,0.1814681158333705,0.0,0.0,0.1331669637570087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1360011115856251,0.1330536225210928,0.1189444099118734,-0.1343094277991854,-0.1348004485721719,-0.1750527107299612,0.0,0.0,0.1135282024364881,0.1379265899812234,0.1543137089562311,0.1946155719087134,0.2978670161661305,0.1845288848539671,0.1207304700072921,0.1561370176275823,0.2686782592646842,0.1908299710105563,0.0,-0.1188566265497776,0.0,0.0,0.0,0.0,0.0,0.0,-0.1595817738979335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1230005323669294,0.0,0.0,0.0,0.0,0.0,-0.2208081905951918,-0.2776583594177492,-0.2020843298917992,-0.2020843298917992,-0.232453679939936,-0.1688114913649963,0.1449729122993734,0.0,0.226617385783232,0.2232313933593793,0.1959396051645306,0.200876741392744,0.0,0.0,0.1796654280680112,0.0,0.0,0.0,-0.231659184976971,-0.1618394986637832,-0.3938202513189511,-0.3206598081385907,-0.4001360044667671,-0.2478261076534667,-0.4493099427953435,-0.3881012416574829,-0.2642566629818251,-0.2089346508604332,-0.3637504199020092,-0.4069241471412146,0.2503628633664411,0.0,0.0,0.2966609060160187,-0.1597060943655631,0.0,0.0,0.0,0.0
send GRN,0.2879327714854796,0.4937301130682439,0.3162701857967568,0.3520967306550615,0.4212901346892267,0.0,0.0,0.3429389662357076,0.1663977346388684,0.1815455850578096,0.1230761237449513,0.1456128467491456,0.1788957496906417,0.2695901186111492,0.2258462622723691,0.2784176783957258,-0.1928392656977872,-0.1934646613376719,-0.2265141005747015,0.1403387872958266,0.1854619168901272,0.2219679817975003,0.1851934881231881,0.0,0.1951415431073327,0.1409792107983966,0.1680032195009056,0.2351425585599997,0.1919314177833839,0.3276711178477746,0.1814920038803283,0.1318385111703322,0.2938580003685619,-0.2624484796905916,0.0,-0.1883890649757759,0.1213239055272024,-0.1542497048244016,-0.1542497048244016,0.1298817258375313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525835500505599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214811694457659,0.0,0.0,0.2349757169769075,0.2166345496178998,0.1641502987994023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1350920577846922,0.1350920577846922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.141313418776956,-0.1453204158029863,0.0,0.0,0.0,-0.1250796488227176,0.2059536228895228,0.0,0.3169939412436528,0.294869462730803,0.2976567473477429,0.2968114467899467,0.0,0.0,0.1367153694451537,0.0,0.0,0.0,0.0,-0.1646994764395193,-0.2617605319219367,-0.2032234209084714,-0.3244457607940234,-0.1296421860181245,-0.2242475512695324,0.0,-0.272367696689757,0.0,-0.3250978243834437,-0.1653089099303896,0.1475956688534904,0.0,0.0,0.1328629574289648,-0.1349834497784539,-0.1198069550518892,0.0,0.0,0.0
send IL2,-0.2954826011669271,-0.1601833269029927,0.2013103345652186,0.0,-0.1575690571651511,0.0,0.0,0.315181528392534,0.5302986536319801,0.4565628511269973,0.4100198449878762,0.4196413507679106,0.271771906053529,0.3967524629529939,0.37849321340567,0.3457798854934917,-0.3686707889808464,-0.3675931425116517,0.1207284002300935,-0.4785889312390295,-0.4109494552835774,-0.3597365192613605,-0.2322964015434654,-0.2709974738034602,-0.2614287633210745,-0.1885738955304762,-0.2849148132482986,-0.1504384146245483,-0.2201360366227225,0.0,-0.312613287165318,-0.413175595194628,-0.3610995476151232,-0.2106098760846358,0.1577332059030431,-0.1153675967828866,-0.2253095419499028,-0.1913922090173527,-0.1913922090173527,-0.189553860644618,-0.2469155271182154,0.1724605854247072,0.0,-0.2212666402950089,0.1203188248321535,-0.1946359276450739,-0.1386430286110116,0.0,0.0,0.1666267228552112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1323592912095325,-0.1243358417598437,-0.1854197181749275,-0.1176096100556863,0.0,0.0,0.0,-0.1243938734136244,0.1438051654973309,0.0,0.0,0.0,0.0,-0.1268660604278618,0.0,0.0,0.0,0.0,0.0,0.0,0.1506173334638457,0.0,0.0,0.1239500968511546,0.0,0.1422062538870515,0.1503091177954647,0.149403713467953,0.1447996185216658,0.0,0.0,0.0,0.1263695383800371,0.0,0.0,0.0,0.0,0.1555541242759227,0.1164848306488442,-0.1277894683090878,-0.1145762583652756,0.0,0.0,0.1445337052697714,0.1318463799849562,0.0,-0.1552896651364051,-0.149425452185069,0.0,-0.1409514613823393,0.160009060809624,0.165432548005561,0.0,0.0,0.0,0.122515110927984,0.1786568280763669,0.2925678779546388,0.1297132109958018,0.2073988657067269,0.2063092429093793,0.2191333256345708,0.1937984530244752,0.0,0.0,0.1262845895419161,0.1262845895419161,0.1183412086822571,0.1914406749511998,0.1325975257740599,-0.2217612967022067,-0.2102621553594902,-0.2121622395143039,-0.2192362323487432,0.1871988245407068,0.1569603123205987,0.195362521993773,0.1815297857897022,0.0,0.1422377624818328,-0.1557655107112951,-0.2368193051400603,-0.2081119918936158,-0.3398255653133158,-0.2489004741107675,-0.2981278020621754,-0.3921433697336308,-0.3796126330146574,-0.4269814628863166
send COMPLEMENT,0.5032604988584156,0.5902697586907238,0.4574344644883751,0.4904915999254156,0.2961820951751734,0.3429389662357076,0.315181528392534,0.0,0.6486956689580092,0.6062661432656966,0.5409404618211372,0.5839093631695165,0.4391945716235744,0.5879220181100743,0.6294730268678099,0.5596771898627835,-0.6370423487182164,-0.6350769969588087,-0.1613249407291069,-0.2604169253242023,-0.2123987837535806,0.0,0.0,0.0,0.0,0.0,0.0,0.245806165683385,0.1647015241827484,0.2004856726679495,0.0,0.0,0.0,-0.2564863690630654,-0.3021743235053394,-0.1690213582439705,-0.172024546163147,-0.2927101088078255,-0.2927101088078255,-0.2026994574071866,-0.2370968976137777,-0.2795720533948733,-0.1824207749572576,-0.2241380322939047,-0.2845518819540246,-0.2816331496602892,-0.2773251851941976,-0.1829435536606726,0.0,0.0,-0.1787582140040073,0.0,-0.1214542612888496,-0.1795485728445315,-0.1795485728445315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148287208996355,0.1690451915949347,0.0,-0.1163102179135384,-0.1848931039526323,-0.2085792665244915,0.0,-0.1398086768473674,-0.1184834574453146,0.0,0.0,-0.1193248993659118,0.0,0.0,0.0,0.0,0.1762546130986439,0.0,0.0,0.0,0.0,-0.1312457576910186,-0.140557259758755,-0.1223692542549773,-0.1233726904494695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1540424556171643,-0.1805282770465767,-0.213563664986183,-0.2060176799478903,0.0,-0.1429562546597708,-0.1730413064119159,-0.2032371065660274,-0.2314694265538725,-0.2543847628148936,-0.1835083791235382,-0.2366851385540252,-0.2483294347366066,-0.3405738982893134,-0.2532773890650075,-0.2532773890650075,-0.264519284757066,-0.1989834670824711,0.3425534987285897,0.3105067389340818,0.330470530975773,0.0,0.3653433656141871,0.3608344776836972,0.1485250314584138,0.1876257936013661,0.2330005384983673,0.1239380446821585,0.1239380446821585,0.0,0.0,0.0,-0.5172660588328427,-0.4235858660541628,-0.5797541000799933,-0.4523546964268852,-0.5323016803639772,-0.4969754592503706,-0.4107303492693792,-0.3303242387011525,-0.3215181359181852,-0.3514851163431999,-0.2751127344801694,-0.2855358425717254,-0.2849007365583995,-0.2965816641578661,-0.375384090027042,-0.4571962735019136,-0.567099199090483,-0.4686562224661083,-0.5538384261662159
send PARs,-0.4308699189050344,0.3358671142606597,0.4235913476460909,0.3866244681088776,0.0,0.1663977346388684,0.5302986536319801,0.6486956689580092,0.0,0.6768110676719142,0.5885831864218115,0.6245576540182116,0.4167868343807975,0.6735875992126875,0.6174365449107249,0.5317174533113287,-0.5731029827890787,-0.5708941060314844,0.0,-0.4984437133028532,-0.469157217654703,-0.3822329385024041,-0.2092373690324157,-0.1659157216933068,-0.1678688525784865,-0.1635060060238761,-0.3507669665410953,0.0,-0.1154968419836605,0.0,-0.1967467658997957,-0.351873413758702,-0.3525766434189078,0.0,-0.2491498590043221,-0.2835004227277848,-0.2283246516702496,-0.3877680577200902,-0.3564405376480222,-0.2207236700041756,-0.3831727992169525,-0.2274507669398927,-0.154832368006928,-0.3092164753822042,-0.2090968404664173,-0.2844287146458832,-0.2817296179306044,-0.1615942172866493,0.0,-0.1394346431731768,-0.1395487413356742,0.0,0.0,-0.2255358570746696,-0.2255358570746695,-0.1908234741575293,0.0,-0.1275168084003051,-0.2154105113680218,0.0,-0.1390552866907329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1343050801063575,0.0,-0.1256355073628081,0.0,0.0,0.0,0.0,0.1537146452751558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2056773914430376,-0.1305003724077136,-0.2552908366046897,0.0,0.0,-0.1158880131331597,0.0,-0.2459424131862891,-0.2002141842023419,-0.1810199980558713,-0.2163243267080453,-0.2245851916537672,-0.2941649202212313,-0.2649759892101869,-0.264975989210187,-0.2256687084916995,-0.1507456671867246,0.2338225446650408,0.387436554807166,0.1686483179663142,0.3199333008002668,0.2807935796625966,0.2903728716624739,0.1591401077842366,0.2076931328142734,0.0,0.2529557290806364,0.2529557290806364,0.0,0.141698457775701,0.1885964335301596,-0.3173922584903395,-0.1672866563065216,-0.4713780066975711,0.0,-0.3638140116121748,-0.3484836026747638,-0.2883968411608181,-0.1991168057052334,-0.1674242754018183,-0.2203268317270842,-0.242120913389569,-0.2401069440328835,-0.3646357509079879,-0.2838128012408467,-0.460504058813544,-0.5454113261481367,-0.6304147107141331,-0.5120650071486373,-0.6360177507662124
receive VCAM,0.3863895221952763,0.3698113630662867,0.2170876488819812,0.2667857127107828,0.0,0.1815455850578096,0.4565628511269973,0.6062661432656966,0.6768110676719142,0.0,0.638667594399013,0.6487938864758436,0.4838836486269644,0.6052447918937662,0.5566770037694785,0.6287861196757021,-0.6371083478769939,-0.6358587390987591,0.1638065455364592,-0.5732260205550782,-0.4882498147061073,-0.4191221816211735,-0.2443593847012655,-0.3456812664070147,-0.2643387434645243,-0.1669302895163195,-0.2706920110790654,-0.1433021369231686,-0.1948583997468438,0.0,-0.4245752532353785,-0.4542998199272918,-0.3867981327176672,-0.357307703066244,-0.2121498240795761,-0.2800405517628475,-0.2413017760553794,-0.3013297859506884,-0.3013297859506884,-0.20435519190442,-0.3333174343680274,-0.2254353186656026,-0.1823486398578475,-0.3016150419241767,-0.2282685411219369,-0.2018128614839677,-0.2490937727412226,-0.1455242775128473,-0.1171374730797869,0.1330063993275347,-0.1145636093915979,0.0,0.0,-0.1710683677949522,-0.1710683677949522,-0.1851994272900614,0.0,-0.1393405695513627,-0.1716033449387871,0.0,0.0,0.0,0.0,0.0,0.0,-0.1171216233448204,0.0,0.0,-0.115137532205053,-0.1283281333131131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129318376337066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1142461337239556,-0.1579744675554536,-0.1570723691606424,0.0,0.0,0.0,0.0,0.0,-0.174178392433435,-0.11954929449215,-0.1532862512741236,-0.1397059782873923,-0.1586449805046326,0.0,0.0,-0.1280967723268999,0.0,0.3418896826475126,0.3136127264970654,0.2505860969061665,0.3801566117027652,0.3492112438847465,0.3517640354314479,0.1465782148736023,0.1688064969881127,0.1187991691017286,0.1948374424030285,0.1948374424030284,0.2169799321798057,0.1476391372958328,0.1810465367802873,-0.3428319365785562,-0.2780053003738739,-0.3692570251923718,-0.3196570107847167,-0.2746099636919319,-0.3227244233087192,-0.2521433819825841,-0.1559458919650246,0.0,-0.1600207047968405,-0.1641588319273114,-0.3950235891982038,-0.3716839608725504,-0.2400979549012099,-0.3224403191622997,0.0,-0.5706474645239985,-0.4959665574402974,-0.5741434432137025
