Pathway 1,send PARs,receive PARs,send CXCL,receive MIF,receive APP,send MHC-I,send MHC-II,receive CCL,receive IGF,receive SEMA7,send FGF,send GALECTIN,send MIF,send ANGPT,receive TENASCIN,receive ESAM,send ESAM,receive CD34,send TGFb,send PSAP,receive CD52,receive IFN-II,receive CSF,send VISTA,receive NOTCH,send BST2,send ANNEXIN,send LCK,receive ANGPTL,receive VISFATIN,receive JAM,receive CD39,receive CXCL,send EPHA,receive BAFF,send GRN,send VEGF,receive MK,receive PTN,receive SPP1,receive FN1,receive SELE,receive COLLAGEN,receive LAMININ,receive GALECTIN,send ANGPTL,send VISFATIN,send OSM,send LIGHT,receive CD22,send CD45,send LAIR1,send LAMININ,receive GRN,receive KIT,receive ITGAL-ITGB2,send ICAM,receive THBS,receive ICAM,send SEMA4,send SELPLG,receive PECAM1,send PECAM1,receive SEMA4,send IL16,send CCL,receive SELPLG,send SELL,send CD52,receive SELL,send CD34
send FGF,0.0,0.0,0.0,0.0,0.0,0.1931334339966064,0.0,0.0,0.2279209162078403,0.1560033840971252,0.0,0.1648909125800987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1706340632567883,-0.1786210978057307,-0.1796565456681424
send GALECTIN,-0.1658672182243933,0.0,0.0,0.0,0.0,0.1863687678857938,0.0,0.0,0.1811236197947638,0.195845030398801,0.1648909125800987,0.0,-0.159616165604459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1745967434167874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1847631436512256,-0.1779699148664857,-0.1630773777002407,-0.1686726889129406,-0.1536580933050874,-0.1559691633638519
send MIF,0.2457330136128056,0.0,0.0,0.0,0.0,-0.2725461198562933,0.0,0.0,0.0,0.0,0.0,-0.159616165604459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1741163321411244,0.2376599471306114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1608943901040471,0.0,0.0,-0.1451036903512791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send ANGPT,-0.2360900059678924,0.1730972651991257,0.0,0.0,0.0,0.1693425344690369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1458329472006451,-0.1452027551765347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1583890740095329,0.0,0.0,0.0,0.0,0.0
receive TENASCIN,0.0,0.1667413793250747,0.2498278108160893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701252723726087,0.1701252723726087,0.1462926862955867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1588457402351711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive ESAM,-0.185103201760638,0.2392277390697831,0.3099890366021938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701252723726087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1646158238578914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.206381558573699,0.0,0.0,0.0,0.0,0.0
send ESAM,-0.185103201760638,0.2392277390697831,0.3099890366021938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701252723726087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1646158238578915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.206381558573699,0.0,0.0,0.0,0.0,0.0
receive CD34,0.0,0.1550581835861761,0.2641139522110203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1462926862955867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1504098834139866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1624508436779979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send TGFb,0.0,0.1695106911770313,0.1741046194167115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1506976403283442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1567184592366373,0.0,0.0,0.0,0.0,0.0
send PSAP,0.0,0.0,0.0,0.0,0.1493468802034504,0.0,0.1946566180198034,0.1642457927377043,-0.185968378596202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1473369607646265,0.0,0.0,0.0,0.0,0.0,0.1937249042554698,0.2217160663955882,0.0,0.0,0.0
