Pathway 1,receive IGF,receive PARs,send FGF,receive SEMA7,send GP1BA,send MHC-I,send ANGPT,send GALECTIN,send MHC-II,receive MIF,receive BAFF,receive SEMA4,receive SELL,send CD34,send IL16,send PSAP,send PARs,receive CSF,receive IL6,send BST2,send SELPLG,send CD52,receive SELPLG,send SELL
receive IGF,0.0,2.7718482615341964,2.911594768821746,2.3494176379696423,0.0,2.0002194970966523,2.31039887694652,2.3942217960962684,-0.0,-0.0,-0.0,-0.0,-1.965850956385996,-2.0009039663784645,-2.1167463826262547,-2.305437097613828,-2.4959341895213583,-2.6245020814673885,-2.4392515382926208,-2.789385226912631,-2.282584954255684,-2.9531090444721624,-2.366538287908325,-2.6664390714495925
receive PARs,2.7718482615341964,0.0,2.6641595795818382,2.180666419134902,2.169404323981671,3.0781883629288784,3.0133853090828207,2.247450672781187,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.0994494108371287,-2.758973507169656,-2.442664033188408,-2.3984731880830297,-2.374465468302114,-2.567244164948718,-2.043015709002601,-2.688823132491048
send FGF,2.911594768821746,2.6641595795818382,0.0,1.998486096032103,0.0,2.137842251725888,2.657948850612499,2.760441442065656,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.504227690862775,-2.4619769099565287,-2.457033305252492,-0.0,-2.716801336101768,-2.01534229848388,-2.373989729542331
receive SEMA7,2.3494176379696423,2.180666419134902,1.998486096032103,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-2.7533466015490955,-2.7721798531099675,-2.161723656793721,-0.0,-2.3839967739953907,-0.0,-0.0,-0.0,-0.0,-2.300615454650119,-2.563293739631016,-2.50841573116145
send GP1BA,0.0,2.169404323981671,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-2.167716320818964,-2.0654836263337795,-0.0,-0.0,-1.977594912188965,-0.0,-0.0,-0.0,-0.0,-2.278351010522944,-0.0,-2.1523660679580607
send MHC-I,2.0002194970966523,3.0781883629288784,2.137842251725888,0.0,0.0,0.0,2.7812446973223843,2.28548359079937,1.9821162250112847,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-2.829838268243298,-2.6623253246299776,-2.0305982960015005,-0.0,-0.0,-0.0,-0.0,-0.0
send ANGPT,2.31039887694652,3.0133853090828207,2.657948850612499,0.0,0.0,2.7812446973223843,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-2.276358806597784,-2.8986298164007294,-2.2634341722529974,-0.0,-0.0,-0.0,-0.0,-0.0
send GALECTIN,2.3942217960962684,2.247450672781187,2.760441442065656,0.0,0.0,2.28548359079937,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.3928812503497947,-2.4435578245796683,-2.35435111005577,-0.0,-2.5690119851756896,-0.0,-0.0
send MHC-II,-0.0,0.0,-0.0,-0.0,-0.0,1.9821162250112847,0.0,0.0,0.0,3.213539640712738,2.020830653244612,2.161748972341932,3.04791763673818,3.130333849668528,2.0287317784076224,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive MIF,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,3.213539640712738,0.0,0.0,2.240443414868834,2.725632519858993,2.7247821872901405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2265937527046504,0.0,0.0
receive BAFF,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,2.020830653244612,0.0,0.0,0.0,2.652223832240755,2.673609442633344,2.440633613842143,2.184466374736714,0.0,0.0,0.0,0.0,0.0,0.0,2.1335283209301363,0.0
receive SEMA4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.161748972341932,2.240443414868834,0.0,0.0,2.4011600025242896,2.486253801914627,2.0416233354929543,2.049502839552775,0.0,0.0,0.0,0.0,0.0,2.511414921446596,2.1620456788246694,2.1951277632287063
receive SELL,-1.965850956385996,-0.0,-0.0,-2.7533466015490955,-2.167716320818964,0.0,0.0,-0.0,3.04791763673818,2.725632519858993,2.652223832240755,2.4011600025242896,0.0,0.0,2.872872645189742,2.19931454161792,0.0,0.0,0.0,2.045541539425837,0.0,2.725554914027845,3.15749334530092,2.8459450127207084
send CD34,-2.0009039663784645,-0.0,-0.0,-2.7721798531099675,-2.0654836263337795,0.0,0.0,-0.0,3.130333849668528,2.7247821872901405,2.673609442633344,2.486253801914627,0.0,0.0,2.895493086149795,2.186908676784522,0.0,0.0,0.0,2.0096549526644707,0.0,2.737597486537019,3.1670271660231406,2.8608019499344413
send IL16,-2.1167463826262547,-0.0,-0.0,-2.161723656793721,-0.0,-0.0,-0.0,-0.0,2.0287317784076224,0.0,2.440633613842143,2.0416233354929543,2.872872645189742,2.895493086149795,0.0,2.780783044470398,0.0,1.9845979252871504,0.0,2.3332891849168744,2.028490441855231,2.744619988851421,2.560189238715586,2.5678345987791973
send PSAP,-2.305437097613828,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,2.184466374736714,2.049502839552775,2.19931454161792,2.186908676784522,2.780783044470398,0.0,0.0,1.9784348660068347,2.158024545529418,2.3838884601840697,2.450182580298424,2.81608361300644,2.097752459114784,2.4445831127704416
send PARs,-2.4959341895213583,-3.0994494108371287,-0.0,-2.3839967739953907,-1.977594912188965,-2.829838268243298,-2.276358806597784,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.096470686469035,2.425280743710323,2.159165444200712,1.9867309617205773,2.3624680645141853,2.9322713272802496,3.1253454778095584
receive CSF,-2.6245020814673885,-2.758973507169656,-2.504227690862775,-0.0,-0.0,-2.6623253246299776,-2.8986298164007294,-2.3928812503497947,-0.0,0.0,0.0,0.0,0.0,0.0,1.9845979252871504,1.9784348660068347,3.096470686469035,0.0,2.97357079925445,2.358354480079019,2.309602327885734,2.5525832096731755,2.0339644017989973,2.563053546644232
receive IL6,-2.4392515382926208,-2.442664033188408,-2.4619769099565287,-0.0,-0.0,-2.0305982960015005,-2.2634341722529974,-2.4435578245796683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158024545529418,2.425280743710323,2.97357079925445,0.0,2.4184355623928,2.184546070309105,2.570518422954545,2.048856008851166,2.4589751735809724
send BST2,-2.789385226912631,-2.3984731880830297,-2.457033305252492,-0.0,-0.0,-0.0,-0.0,-2.35435111005577,0.0,0.0,0.0,0.0,2.045541539425837,2.0096549526644707,2.3332891849168744,2.3838884601840697,2.159165444200712,2.358354480079019,2.4184355623928,0.0,2.070852242175488,3.1948190430096672,2.258993213479224,2.466718907274898
send SELPLG,-2.282584954255684,-2.374465468302114,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028490441855231,2.450182580298424,1.9867309617205773,2.309602327885734,2.184546070309105,2.070852242175488,0.0,2.790360406148887,0.0,2.4420095709306544
send CD52,-2.9531090444721624,-2.567244164948718,-2.716801336101768,-2.300615454650119,-2.278351010522944,-0.0,-0.0,-2.5690119851756896,0.0,2.2265937527046504,0.0,2.511414921446596,2.725554914027845,2.737597486537019,2.744619988851421,2.81608361300644,2.3624680645141853,2.5525832096731755,2.570518422954545,3.1948190430096672,2.790360406148887,0.0,2.9573723637281426,3.3659120886838823
receive SELPLG,-2.366538287908325,-2.043015709002601,-2.01534229848388,-2.563293739631016,-0.0,-0.0,-0.0,-0.0,0.0,0.0,2.1335283209301363,2.1620456788246694,3.15749334530092,3.1670271660231406,2.560189238715586,2.097752459114784,2.9322713272802496,2.0339644017989973,2.048856008851166,2.258993213479224,0.0,2.9573723637281426,0.0,0.0
send SELL,-2.6664390714495925,-2.688823132491048,-2.373989729542331,-2.50841573116145,-2.1523660679580607,-0.0,-0.0,-0.0,0.0,0.0,0.0,2.1951277632287063,2.8459450127207084,2.8608019499344413,2.5678345987791973,2.4445831127704416,3.1253454778095584,2.563053546644232,2.4589751735809724,2.466718907274898,2.4420095709306544,3.3659120886838823,0.0,0.0
