Pathway 1,send PARs,send MHC-I,send MIF,send CD52,receive CCL,send PSAP,send MHC-II,send CCL,receive APP,receive JAM,receive CSF,send SELPLG,receive SELPLG,send SELL,receive PARs,receive MK,receive PTN,send BST2,receive CEACAM,send GRN,receive CXCL,receive SEMA4,send TGFb,receive GALECTIN,send CXCL,receive CD34,receive KIT,receive IFN-II,send ANGPTL,receive THBS,send VISFATIN,receive PECAM1,send PECAM1,receive CLEC,receive ICAM,send IL2,receive ITGAL-ITGB2,send ICAM,receive CD52,send LAIR1,receive ANGPTL,receive SEMA7,receive IGF,send LAMININ,send ANNEXIN,send COMPLEMENT,send APP,send SEMA4,send VISTA,receive SELL,send CD34,send ANGPT,send GALECTIN
receive CSF,0.0,0.0,0.0,0.1975643103467313,0.3078399028904837,0.265457968876732,0.0,0.0,0.0,0.0,0.0,0.0,0.1926131706731818,0.2013299565671483,0.0,0.0,0.0,0.0,0.0,0.0,0.2231231581743027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558671850579328,0.186227359661413,0.186227359661413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send SELPLG,0.0,0.0,0.0,0.1607239524403247,0.3009516034680581,0.2545724919703469,0.1521945040068824,0.1519853391582394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16295443507578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1545808580142322,0.0,0.0,0.0,0.0,0.0
receive SELPLG,0.0,0.0,0.0,0.1733593496239768,0.2361222921815104,0.2009379184399653,0.0,0.0,0.0,0.0,0.1926131706731818,0.0,0.0,0.0,0.0,0.0,0.0,0.1618404715165063,0.0,0.0,0.156333482169538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1650324474536622,0.1677496577373376,0.156094242573228,-0.1590325859271719
send SELL,0.1600338760961994,0.0,0.0,0.2015203650070922,0.2474314427817548,0.213724038104974,0.0,0.1645882621454608,-0.1561360088579705,0.0,0.2013299565671483,0.0,0.0,0.0,0.0,0.0,0.0,0.1609425123556006,0.0,0.0,0.1714988340125927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695389690066314,0.0,-0.1506491351802034
receive PARs,0.0,0.2307095814581333,0.0,0.0,0.0,-0.1501784975435723,0.0,-0.1559908988638317,0.0,0.1548375248870238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2048696265165298,0.0,0.1558941587801894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1628655113819305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2587440962860018,0.1963178979565924
receive MK,0.0,0.1619094401830494,0.2768387927796253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1882386400285756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2127088894314359,-0.1809328818720949,0.0,0.0,0.0,0.1502470401223142,0.0,0.0,0.1503370632132262
receive PTN,0.0,0.1806838607664948,0.2771827861879861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1778489408222081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1691343017990184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2367099884524272,-0.2120204104465842,0.0,0.0,0.0,0.1700650947629565,0.1796847090016764,0.0,0.0
send BST2,0.0,0.0,0.2349542429109294,0.0,0.0,0.0,0.0,0.1530168683583844,0.0,0.0,0.0,0.0,0.1618404715165063,0.1609425123556006,0.0,0.1882386400285756,0.1778489408222081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1507260734288744,0.0,0.0
receive CEACAM,0.0,-0.1691702487153576,0.0,0.0,0.0,0.0,-0.1733625658401642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557699953182341,0.2078767940775585,0.0,0.0,0.1900987524306731,0.0,0.0,0.0,0.0
send GRN,0.0,0.0,0.0,0.1587060726155452,0.0,0.1560439779811289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1817866814106069,0.2130125149878652,0.0,0.0,0.2131035612065946,0.0,0.0,0.0,0.0
